DATE,GDP
2000-07-01,10318.165
2000-10-01,10435.744
2001-01-01,10470.231
2001-04-01,10599.0
2001-07-01,10598.02
2001-10-01,10660.465
2002-01-01,10783.5
2002-04-01,10887.46
2002-07-01,10984.04
2002-10-01,11061.433
2003-01-01,11174.129
2003-04-01,11312.766
2003-07-01,11566.669
2003-10-01,11772.234
2004-01-01,11923.447
2004-04-01,12112.815
2004-07-01,12305.307
2004-10-01,12527.214
2005-01-01,12767.286
2005-04-01,12922.656
2005-07-01,13142.642
2005-10-01,13324.204
2006-01-01,13599.16
2006-04-01,13753.424
2006-07-01,13870.188
2006-10-01,14039.56
2007-01-01,14215.651
2007-04-01,14402.082
2007-07-01,14564.117
2007-10-01,14715.058
2008-01-01,14706.538
2008-04-01,14865.701
2008-07-01,14898.999
2008-10-01,14608.208
2009-01-01,14430.901
2009-04-01,14381.236
2009-07-01,14448.882
2009-10-01,14651.248
2010-01-01,14764.611
2010-04-01,14980.193
2010-07-01,15141.605
2010-10-01,15309.471
2011-01-01,15351.444
2011-04-01,15557.535
2011-07-01,15647.681
2011-10-01,15842.267
2012-01-01,16068.824
2012-04-01,16207.13
2012-07-01,16319.54
2012-10-01,16420.386
2013-01-01,16629.05
2013-04-01,16699.551
2013-07-01,16911.068
2013-10-01,17133.114
2014-01-01,17144.281
2014-04-01,17462.703
2014-07-01,17743.227
2014-10-01,17852.54
2015-01-01,17991.348
2015-04-01,18193.707
2015-07-01,18306.96
2015-10-01,18332.079
2016-01-01,18425.306
2016-04-01,18611.617
2016-07-01,18775.459
2016-10-01,18968.041
2017-01-01,19153.912
2017-04-01,19322.92
2017-07-01,19558.693
2017-10-01,19882.965
2018-01-01,20143.716
2018-04-01,20492.492
2018-07-01,20659.102
2018-10-01,20813.325
2019-01-01,21001.591
2019-04-01,21289.268
2019-07-01,21505.012
2019-10-01,21694.458
2020-01-01,21481.367
2020-04-01,19477.444
2020-07-01,21138.574
2020-10-01,21477.597
2021-01-01,22038.226
2021-04-01,22722.581
